,loss,accuracy,auc,val_loss,val_accuracy,val_auc
0,0.23503172397613525,0.8947904109954834,0.9717875123023987,0.07839135825634003,0.9718968868255615,0.9964168667793274
1,0.06444520503282547,0.9779272675514221,0.9972567558288574,0.05558695271611214,0.982450008392334,0.997948944568634
2,0.048240065574645996,0.9833778142929077,0.9981949925422668,0.04580781236290932,0.985967755317688,0.9983371496200562
3,0.03998005390167236,0.9867151379585266,0.9986296892166138,0.040620751678943634,0.9867795705795288,0.9983764290809631
4,0.035996921360492706,0.9878876805305481,0.9987607598304749,0.03714582324028015,0.9877073168754578,0.9986129403114319
5,0.033673644065856934,0.9887639284133911,0.9988885521888733,0.03675057739019394,0.9878619313240051,0.9987314343452454
6,0.02978549525141716,0.9901683926582336,0.9991046786308289,0.035526324063539505,0.9879778623580933,0.998779833316803
7,0.029496492817997932,0.990297257900238,0.9990312457084656,0.03988811746239662,0.9866635799407959,0.9985538721084595
8,0.026396257802844048,0.9915213584899902,0.9991331100463867,0.04147285968065262,0.9867408871650696,0.9983308911323547
9,0.02501223050057888,0.9917146563529968,0.9992693066596985,0.03563477843999863,0.9885963797569275,0.9985883235931396
10,0.02333759143948555,0.9921656847000122,0.9993693232536316,0.04222911223769188,0.9863156676292419,0.9983641505241394
11,0.022338952869176865,0.9927583932876587,0.9993070960044861,0.034598272293806076,0.9890989065170288,0.9983956813812256
